,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,opinion_id,text,target,category,polarity,ote_start,ote_stop,ote,entity,attribute,text_cln,text_cln_lm,text_ints,target_seq,POS_tag_lists,POS_int_lists
0,0,0,0,0,1004293:0:0,"Judging from previous posts this used to be a good place, but not any longer.",place,RESTAURANT#GENERAL,negative,51.0,56.0,place,RESTAURANT,GENERAL,"['judging', 'from', 'previous', 'posts', 'this', 'used', 'to', 'be', 'a', 'good', 'place', 'but', 'not', 'any', 'longer']","['judge', 'from', 'previous', 'post', 'this', 'use', 'to', 'be', 'a', 'good', 'place', 'but', 'not', 'any', 'longer']","[1129, 60, 584, 1942, 21, 326, 7, 3, 5, 20, 22, 18, 13, 160, 650]",['place'],"['VBG', 'IN', 'JJ', 'NNS', 'DT', 'VBN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'CC', 'RB', 'DT', 'RBR']","[18, 4, 2, 10, 3, 13, 14, 9, 3, 2, 1, 6, 5, 3, 28]"
1,1,1,1,1,1004293:1:0,"We, there we are four of us, arrived at noon - the place was empty - and the staff acted like we we are imposing on them and they we are very rude.",staff,SERVICE#GENERAL,negative,75.0,80.0,staff,SERVICE,GENERAL,"['we', 'there', 'we', 'are', 'four', 'of', 'us', 'arrived', 'at', 'noon', 'the', 'place', 'was', 'empty', 'and', 'the', 'staff', 'acted', 'like', 'we', 'we', 'are', 'imposing', 'on', 'them', 'and', 'they', 'we', 'are', 'very', 'rude']","['we', 'there', 'we', 'be', 'four', 'of', 'us', 'arrive', 'at', 'noon', 'the', 'place', 'be', 'empty', 'and', 'the', 'staff', 'act', 'like', 'we', 'we', 'be', 'impose', 'on', 'them', 'and', 'they', 'we', 'be', 'very', 'rude']","[10, 38, 10, 3, 296, 11, 83, 471, 30, 1943, 2, 22, 3, 539, 4, 2, 52, 950, 37, 10, 10, 3, 1944, 28, 347, 4, 33, 10, 3, 27, 166]",['staff'],"['PRP', 'RB', 'PRP', 'VBP', 'CD', 'IN', 'PRP', 'VBD', 'IN', 'NN', 'DT', 'NN', 'VBD', 'JJ', 'CC', 'DT', 'NN', 'VBD', 'IN', 'PRP', 'PRP', 'VBP', 'VBG', 'IN', 'PRP', 'CC', 'PRP', 'PRP', 'VBP', 'RB', 'JJ']","[7, 5, 7, 12, 22, 4, 7, 8, 4, 1, 3, 1, 8, 2, 6, 3, 1, 8, 4, 7, 7, 12, 18, 4, 7, 6, 7, 7, 12, 5, 2]"
2,2,2,2,2,1004293:2:0,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,SERVICE#GENERAL,negative,0.0,0.0,0,SERVICE,GENERAL,"['they', 'never', 'brought', 'us', 'complimentary', 'noodles', 'ignored', 'repeated', 'requests', 'for', 'sugar', 'and', 'threw', 'our', 'dishes', 'on', 'the', 'table']","['they', 'never', 'bring', 'us', 'complimentary', 'noodles', 'ignore', 'repeat', 'request', 'for', 'sugar', 'and', 'throw', 'our', 'dish', 'on', 'the', 'table']","[33, 64, 504, 83, 738, 651, 823, 1130, 437, 14, 1945, 4, 1131, 61, 62, 28, 2, 92]",['null'],"['PRP', 'RB', 'VBD', 'PRP', 'JJ', 'NNS', 'VBD', 'JJ', 'NNS', 'IN', 'NN', 'CC', 'VBD', 'PRP$', 'NNS', 'IN', 'DT', 'NN']","[7, 5, 8, 7, 2, 10, 8, 2, 10, 4, 1, 6, 8, 17, 10, 4, 3, 1]"
3,3,3,3,3,1004293:3:0,The food was lousy - too sweet or too salty and the portions tiny.,food,FOOD#QUALITY,negative,4.0,8.0,food,FOOD,QUALITY,"['the', 'food', 'was', 'lousy', 'too', 'sweet', 'or', 'too', 'salty', 'and', 'the', 'portions', 'tiny']","['the', 'food', 'be', 'lousy', 'too', 'sweet', 'or', 'too', 'salty', 'and', 'the', 'portion', 'tiny']","[2, 9, 3, 951, 68, 387, 44, 68, 739, 4, 2, 161, 472]",['food'],"['DT', 'NN', 'VBD', 'JJ', 'RB', 'JJ', 'CC', 'RB', 'JJ', 'CC', 'DT', 'NNS', 'JJ']","[3, 1, 8, 2, 5, 2, 6, 5, 2, 6, 3, 10, 2]"
4,4,4,4,4,1004293:3:1,The food was lousy - too sweet or too salty and the portions tiny.,portions,FOOD#STYLE_OPTIONS,negative,52.0,60.0,portions,FOOD,STYLE_OPTIONS,"['the', 'food', 'was', 'lousy', 'too', 'sweet', 'or', 'too', 'salty', 'and', 'the', 'portions', 'tiny']","['the', 'food', 'be', 'lousy', 'too', 'sweet', 'or', 'too', 'salty', 'and', 'the', 'portion', 'tiny']","[2, 9, 3, 951, 68, 387, 44, 68, 739, 4, 2, 161, 472]",['portion'],"['DT', 'NN', 'VBD', 'JJ', 'RB', 'JJ', 'CC', 'RB', 'JJ', 'CC', 'DT', 'NNS', 'JJ']","[3, 1, 8, 2, 5, 2, 6, 5, 2, 6, 3, 10, 2]"
5,5,5,5,5,1004293:4:0,"After all that, they complained to me about the small tip.",,SERVICE#GENERAL,negative,0.0,0.0,0,SERVICE,GENERAL,"['after', 'all', 'that', 'they', 'complained', 'to', 'me', 'about', 'the', 'small', 'tip']","['after', 'all', 'that', 'they', 'complain', 'to', 'me', 'about', 'the', 'small', 'tip']","[237, 34, 24, 33, 740, 7, 86, 63, 2, 155, 585]",['null'],"['IN', 'DT', 'IN', 'PRP', 'VBD', 'TO', 'PRP', 'IN', 'DT', 'JJ', 'NN']","[4, 3, 4, 7, 8, 14, 7, 4, 3, 2, 1]"
6,6,6,6,6,1004293:5:0,Avoid this place!,place,RESTAURANT#GENERAL,negative,11.0,16.0,place,RESTAURANT,GENERAL,"['avoid', 'this', 'place']","['avoid', 'this', 'place']","[1132, 21, 22]",['place'],"['VB', 'DT', 'NN']","[9, 3, 1]"
7,7,7,7,7,1014458:0:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD#QUALITY,positive,38.0,42.0,food,FOOD,QUALITY,"['i', 'have', 'eaten', 'at', 'saul', 'many', 'times', 'the', 'food', 'is', 'always', 'consistently', 'outrageously', 'good']","['i', 'have', 'eat', 'at', 'saul', 'many', 'time', 'the', 'food', 'be', 'always', 'consistently', 'outrageously', 'good']","[6, 8, 57, 30, 824, 167, 41, 2, 9, 3, 89, 652, 1423, 20]",['food'],"['LS', 'VBP', 'VBN', 'IN', 'JJ', 'JJ', 'NNS', 'DT', 'NN', 'VBZ', 'RB', 'RB', 'RB', 'JJ']","[16, 12, 13, 4, 2, 2, 10, 3, 1, 11, 5, 5, 5, 2]"
8,8,8,8,8,1014458:1:0,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,RESTAURANT#GENERAL,positive,0.0,4.0,Saul,RESTAURANT,GENERAL,"['saul', 'is', 'the', 'best', 'restaurant', 'on', 'smith', 'street', 'and', 'in', 'brooklyn']","['saul', 'be', 'the', 'best', 'restaurant', 'on', 'smith', 'street', 'and', 'in', 'brooklyn']","[824, 3, 2, 50, 36, 28, 1133, 473, 4, 15, 474]",['saul'],"['NN', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'NN', 'NN', 'CC', 'IN', 'NN']","[1, 11, 3, 21, 1, 4, 1, 1, 6, 4, 1]"
9,9,9,9,9,1014458:2:0,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,FOOD#QUALITY,positive,42.0,69.0,foie gras terrine with figs,FOOD,QUALITY,"['the', 'duck', 'confit', 'is', 'always', 'amazing', 'and', 'the', 'foie', 'gras', 'terrine', 'with', 'figs', 'was', 'out', 'of', 'this', 'world']","['the', 'duck', 'confit', 'be', 'always', 'amaze', 'and', 'the', 'foie', 'gras', 'terrine', 'with', 'figs', 'be', 'out', 'of', 'this', 'world']","[2, 741, 1424, 3, 89, 96, 4, 2, 1425, 1426, 1427, 23, 1428, 3, 65, 11, 21, 254]","['foie', 'gras', 'terrine', 'with', 'figs']","['DT', 'NN', 'NN', 'VBZ', 'RB', 'JJ', 'CC', 'DT', 'FW', 'FW', 'NN', 'IN', 'NNS', 'VBD', 'IN', 'IN', 'DT', 'NN']","[3, 1, 1, 11, 5, 2, 6, 3, 15, 15, 1, 4, 10, 8, 4, 4, 3, 1]"
10,10,10,10,10,1014458:2:1,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,FOOD#QUALITY,positive,4.0,15.0,duck confit,FOOD,QUALITY,"['the', 'duck', 'confit', 'is', 'always', 'amazing', 'and', 'the', 'foie', 'gras', 'terrine', 'with', 'figs', 'was', 'out', 'of', 'this', 'world']","['the', 'duck', 'confit', 'be', 'always', 'amaze', 'and', 'the', 'foie', 'gras', 'terrine', 'with', 'figs', 'be', 'out', 'of', 'this', 'world']","[2, 741, 1424, 3, 89, 96, 4, 2, 1425, 1426, 1427, 23, 1428, 3, 65, 11, 21, 254]","['duck', 'confit']","['DT', 'NN', 'NN', 'VBZ', 'RB', 'JJ', 'CC', 'DT', 'FW', 'FW', 'NN', 'IN', 'NNS', 'VBD', 'IN', 'IN', 'DT', 'NN']","[3, 1, 1, 11, 5, 2, 6, 3, 15, 15, 1, 4, 10, 8, 4, 4, 3, 1]"
11,11,11,11,11,1014458:3:0,The wine list is interesting and has many good values.,wine list,DRINKS#STYLE_OPTIONS,positive,4.0,13.0,wine list,DRINKS,STYLE_OPTIONS,"['the', 'wine', 'list', 'is', 'interesting', 'and', 'has', 'many', 'good', 'values']","['the', 'wine', 'list', 'be', 'interest', 'and', 'have', 'many', 'good', 'value']","[2, 80, 136, 3, 438, 4, 8, 167, 20, 238]","['wine', 'list']","['DT', 'NN', 'NN', 'VBZ', 'JJ', 'CC', 'VBZ', 'JJ', 'JJ', 'NNS']","[3, 1, 1, 11, 2, 6, 11, 2, 2, 10]"
12,12,12,12,12,1014458:3:1,The wine list is interesting and has many good values.,wine list,DRINKS#PRICES,positive,4.0,13.0,wine list,DRINKS,PRICES,"['the', 'wine', 'list', 'is', 'interesting', 'and', 'has', 'many', 'good', 'values']","['the', 'wine', 'list', 'be', 'interest', 'and', 'have', 'many', 'good', 'value']","[2, 80, 136, 3, 438, 4, 8, 167, 20, 238]","['wine', 'list']","['DT', 'NN', 'NN', 'VBZ', 'JJ', 'CC', 'VBZ', 'JJ', 'JJ', 'NNS']","[3, 1, 1, 11, 2, 6, 11, 2, 2, 10]"
